id,ra,dec,X_IMAGE,Y_IMAGE,g1_gmix,g2_gmix,T_gmix,flux_gmix,g1_MC,g2_MC,g1_Rinv,g2_Rinv,T_mcal,flux_mcal
2001.0,289.43901076988436,-33.18024667489287,4393.5664,942.6360,-99999.0,-99999.0,-99999.0,-99999.0,-0.007144690606687456,-0.004691380764203673,0.001046907400890282,0.00030514028478404137,3.6987629224142182,2390.690635941293
2003.0,289.4664425203615,-33.1796704095676,3992.3098,952.8588,0.06399185262997169,0.09178894112032414,5.4932537575223535,2843.456318724764,0.016642997473027214,0.05548305983580741,-0.00320824230766226,-0.004579629599385905,4.837743700522774,2568.966517181478
2004.0,289.65007713102636,-33.17974174062243,1306.5092,950.3037,-0.059797529068503365,0.02815573665588008,8.441861794121069,3748.577139134836,-0.010669599074630838,0.0135344573989527,0.002929080101181765,-0.0013678758453527571,6.850797125252548,3135.9120986577354
2005.0,289.5554276116093,-33.18008461186834,2691.2617,945.3538,0.03383964217470792,-0.07518022408468178,3.100970497418614,2334.656797829842,0.016376167257804743,-0.06956363577914901,-0.001862747419153304,0.0037642463566996856,2.8707881899469787,2208.018657879032
2006.0,289.4450984024559,-33.18010303984999,4304.6660,945.4658,-0.005729759946342164,-0.035620850048581315,4.6132441571693015,2570.5277153704437,-0.0026669146709523564,-0.03008658640692768,0.0004274440379601381,0.0018746011011235549,4.079521353173715,2332.1178791462116
2007.0,289.42725074642294,-33.18023868685825,4565.7056,942.7674,-0.11800310339082289,0.2040850055817482,1.653693126684007,2214.4432165690064,-0.09344435728289328,0.21618518272725332,0.006596067713932001,-0.010397557194281657,1.6225688016567994,2186.869183502082
2008.0,289.3345594015001,-33.179979725797686,5921.2534,945.7278,-0.032071561369575424,0.07204022820251779,8.85063102469659,3935.2707720983035,-0.004592688332352892,0.02612267838282365,0.001330208093838298,-0.002896074517809062,7.231904441526574,3307.6633040455254
2009.0,289.3360756411561,-33.18020437057617,5899.2822,941.5540,-0.1070004978969769,-0.05889253986691601,6.897798935991559,3368.906059685113,-0.02212905820338257,-0.02625067729981177,0.005476038002349159,0.0027029991490509176,5.902948958290554,2961.052905994535
2011.0,289.40725395574333,-33.18017044497235,4858.0874,943.7110,0.050047203249722456,0.009186528430082731,7.832630023901543,3650.3970544242893,0.009143653022413902,0.005864202589323603,-0.0024792202824180437,-0.0005953878158467651,6.473192647846502,3099.842741701357
2012.0,289.62938079366796,-33.18059056698103,1609.3579,935.8316,-99999.0,-99999.0,-99999.0,-99999.0,0.009143653022413902,0.005864202589323603,-0.0024792202824180437,-0.0005953878158467651,6.473192647846502,3099.842741701357
2013.0,289.27374959366836,-33.180199746555715,6810.7637,941.5474,-99999.0,-99999.0,-99999.0,-99999.0,0.009143653022413902,0.005864202589323603,-0.0024792202824180437,-0.0005953878158467651,6.473192647846502,3099.842741701357
2014.0,289.63505434353334,-33.180691673618306,1526.3856,933.9512,-0.015887304828169635,-0.008321221112232423,5.97705070563573,2972.443851279111,-0.003433493986304492,-0.0025073369504881827,0.0007162473918702401,0.00021236692722524742,5.125406130108145,2618.0773844317823
2015.0,289.288035597568,-33.180807805367124,6601.9502,930.1389,0.07142744377746994,0.053750650800734365,4.750583411769695,2840.3013683571594,0.02135263153158874,0.03548209569615846,-0.003746289494461798,-0.0026431221677603507,4.3072161771543405,2625.977987004232
2016.0,289.3826314679,-33.18101308375646,5218.1050,928.7350,0.015137676116297358,0.07178303960647692,7.704767778841213,3602.259024372823,0.0017099558854299412,0.03588909796435961,-0.0004860889524769971,-0.003516647647493511,6.4788574125920695,3103.8418722041074
2017.0,289.4241857602425,-33.18110400547045,4610.6401,927.6078,-0.014166570399605866,0.02368853231077657,2.8501830752354884,1963.5832165161794,-0.007922880112765802,0.02527069778868332,0.0007994514732812454,-0.0012539662639652871,2.6470556364568583,1863.0446703400603
2019.0,289.3530775841841,-33.18134710423588,5650.7769,922.3849,0.11213799829042187,0.17332486036269654,0.6861665460385806,1567.6773374467934,0.13928785862273235,0.23373604073033427,-0.00593462969102254,-0.00857602099288288,0.7404143683382848,1619.8492339635866
2020.0,289.4108461635408,-33.18108147672556,4805.7144,927.8824,0.02236770269422259,0.0007384744750944933,5.7165034161838255,2905.959786224883,0.006049246000072814,0.002596839051371082,-0.0011855677268046427,-0.00020069072473241512,4.952288179262589,2584.75682422979
2021.0,289.4955349191546,-33.18153015373933,3567.1074,920.4914,0.01848188218082289,-0.12183537024901349,0.7162149735396595,1737.41802189933,0.02189144357339246,-0.15575457087252784,-0.0009662330882981281,0.005860898146127413,0.7720743387877299,1792.8822522453795
2022.0,289.4640753088311,-33.18145828417568,4027.1411,921.7261,0.019568348389834952,0.0325651331797064,6.480696226222007,3206.993683920374,0.004660930058268229,0.018794807625026826,-0.001088639482854066,-0.0017091485962098458,5.603879596312662,2837.691238970393
2023.0,289.6256720710938,-33.181599499210826,1663.5831,918.0840,-0.03711118310082888,-0.03056376209691891,7.136622553004719,3368.556849273771,-0.007818085753975669,-0.015027929463498428,0.0019616275534670106,0.0013610844290498343,5.991891727525425,2904.3134219461067
2024.0,289.32915076932284,-33.18157269053083,6000.7310,917.9283,-0.050413061512746424,0.06707911397534422,10.00461222841048,4287.0254122111755,-0.007980016224571037,0.025859283831525307,0.0024272175668032555,-0.003066711086731004,7.97587208711885,3516.361233519178
2025.0,289.6802459693883,-33.18194820400177,865.4636,911.3116,-0.09352252131401104,0.021707730091506394,7.374398886843224,3430.9281135175215,-0.01785022037835195,0.009601522061631137,0.004713879519695302,-0.0009611247532800641,6.263976328796869,2992.643940332993
2026.0,289.5554560011463,-33.18204452042087,2690.6084,911.3917,0.12464172962687646,-0.2972060101032484,0.9981913977732844,1452.7132152602278,-0.004116596648762377,-0.4953444408003836,-0.006726675410498929,0.01452360799250846,1.0304253184750543,1481.9585869469006
2028.0,289.34949326384526,-33.182420489658135,5702.9976,903.5536,-0.07766729773361307,0.21845198434482133,0.6613648673262086,2275.9331493196983,-0.09283748243553919,0.27241105944764754,0.00421987922250035,-0.010998611272523776,0.6928519663896409,2317.488121101307
2029.0,289.59158293162847,-33.182202736912316,2162.1667,908.0754,-0.060745974761006336,0.052999226453182294,2.7460672180669388,2043.6403235119426,-0.033811279842249485,0.05698515090916227,0.0033310489680574568,-0.0028003294757036924,2.560976879992469,1945.9726216071542
