No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
87,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115050.37-280354.4</a>",177.70988,-28.06511,IrS,116697.00,0.389258,SUN,,1.302,1,0,12,2,1,0,0
88,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c15.1  </a>",177.71029,-28.06520,VisS,161888.00,0.54,PUN,,1.303,1,0,0,1,1,0,0
89,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115049.27-280350.3</a>",177.70533,-28.06399,IrS,117287.00,0.391227,SUN,,1.325,1,0,12,2,1,0,0
90,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 119</a>",177.69586,-28.06470,G,403129.00,1.344692,SUN,,1.336,1,0,0,1,1,0,0
91,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 138</a>",177.70343,-28.06333,G,391722.00,1.306645,SUN,,1.36,1,0,0,1,1,0,0
92,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 124</a>",177.69792,-28.06345,G,402663.00,1.343139,SUN,,1.382,1,0,0,1,1,0,0
93,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 02.2</a>",177.72525,-28.09836,G_Lens,545622.00,1.82,PUN,,1.383,1,0,0,1,1,0,0
94,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 02.1</a>",177.72584,-28.09780,G_Lens,500653.00,1.67,PUN,,1.392,1,0,0,1,1,0,0
95,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115055.20-280501.3</a>",177.73004,-28.08370,IrS,113221.00,0.377663,SUN,,1.427,1,0,12,2,1,0,0
96,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 184</a>",177.71773,-28.06574,G,118650.00,0.395775,SUN,,1.438,1,0,0,1,1,0,0
97,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115051.77-280627.4</a>",177.71574,-28.10763,IrS,120039.00,0.400407,SUN,,1.458,1,0,12,2,1,0,0
98,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115055.20-280534.7</a>",177.73003,-28.09299,IrS,92780.00,0.309482,SUN,,1.481,1,0,12,2,1,0,0
99,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115051.75-280349.9</a>",177.71565,-28.06387,IrS,112445.00,0.375075,SUN,,1.482,1,0,12,2,1,0,0
100,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115042.57-280546.2</a>",177.67738,-28.09618,IrS,119423.00,0.398351,SUN,,1.497,1,0,12,2,1,0,0
101,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115054.90-280548.3</a>",177.72878,-28.09676,IrS,117057.00,0.390461,SUN,,1.5,1,0,12,2,1,0,0
102,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115050.73-280636.4</a>",177.71141,-28.11014,IrS,242395.00,0.808544,SUN,,1.512,1,0,12,2,1,0,0
103,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115055.45-280446.5</a>",177.73107,-28.07959,IrS,116311.00,0.387972,SUN,,1.525,1,0,12,2,1,0,0
104,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115054.96-280428.7</a>",177.72902,-28.07464,IrS,115034.00,0.383712,SUN,,1.527,1,0,12,2,1,0,0
105,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 097</a>",177.68868,-28.06398,G,98910.00,0.329927,SUN,,1.528,1,0,0,1,1,0,0
106,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 16.3</a>",177.72328,-28.10543,G_Lens,1010301.00,3.37,PUN,,1.578,1,0,0,1,1,0,0
107,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115056.02-280502.2</a>",177.73343,-28.08395,IrS,116831.00,0.389706,SUN,,1.605,1,0,12,2,1,0,0
108,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] 16.1</a>",177.72479,-28.10490,G_Lens,890384.00,2.97,PUN,,1.61,1,0,0,1,1,0,0
109,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 181</a>",177.71674,-28.06193,G,116958.00,0.390131,SUN,,1.612,1,0,0,1,1,0,0
110,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115056.07-280515.8</a>",177.73364,-28.08775,IrS,115449.00,0.385098,SUN,,1.615,1,0,12,2,1,0,0
111,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 108</a>",177.69119,-28.06071,G,114249.00,0.381095,SUN,,1.645,1,0,0,1,1,0,0
112,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c13.3  </a>",177.72915,-28.07059,VisS,1430010.00,4.77,PUN,,1.655,1,0,0,1,1,0,0
113,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c13.2  </a>",177.73095,-28.07222,VisS,1247137.00,4.16,PUN,,1.686,1,0,0,1,1,0,0
114,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 186</a>",177.71804,-28.11090,G,96399.00,0.321553,SUN,,1.688,1,0,0,1,1,0,0
115,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J115044.80-280340.6</a>",177.68671,-28.06128,IrS,112711.00,0.375963,SUN,,1.721,1,0,12,2,1,0,0
116,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287+32:[ZSM2017] c13.1  </a>",177.73283,-28.07377,VisS,242832.00,0.81,PUN,,1.731,1,0,0,1,1,0,0
117,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">PLCK G287.0+32.9:[GDW2019] 095</a>",177.68811,-28.06000,G,115622.00,0.385673,SUN,,1.752,1,0,0,1,1,0,0
