No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
144,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-015</a>",110.68642,-73.49078,G,902375.00,3.01,PSE,,4.159,1,0,0,1,1,0,0
145,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] SM-z12-1</a>",110.63579,-73.47592,G,3738412.00,12.47,PSE,,4.266,1,0,0,1,1,0,0
146,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-019</a>",110.66417,-73.48903,G,668537.00,2.23,PSE,,4.352,1,0,0,1,1,0,0
147,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F200DA-061</a>",110.63204,-73.47739,G,1471981.00,4.91,PSE,,4.367,1,0,0,1,1,0,0
148,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-007</a>",110.68700,-73.49822,G,3294720.00,10.99,PSE,,4.494,1,0,0,1,1,0,0
149,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] SMACS_z12a</a>",110.69742,-73.50047,G,944346.00,3.15,PSE,,4.495,1,0,0,1,1,0,0
150,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-024</a>",110.63942,-73.48597,G,785456.00,2.62,PSE,,4.555,1,0,0,1,1,0,0
151,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-052</a>",110.61225,-73.47606,G,473672.00,1.58,PSE,,4.62,1,0,0,1,1,0,0
152,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-010</a>",110.66704,-73.49614,G,1061265.00,3.54,PSE,,4.62,1,0,0,1,1,0,0
153,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-005</a>",110.67087,-73.49858,G,902375.00,3.01,PSE,,4.686,1,0,0,1,1,0,0
154,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] 01566</a>",110.66379,-73.50017,G,3642479.00,12.15,PSE,,4.837,1,0,0,1,1,0,0
